Gamma_IG3PS,Gamma_TPI,Gamma_PHETRA,Gamma_ALATA_L,sigma_km_product2_AKGMAL,sigma_km_product2_ALCD26xi,sigma_km_product1_CHORS,sigma_km_product2_GF6PTA,sigma_km_substrate1_GLUDy,sigma_km_product2_GLUDy,sigma_km_product2_HSTPT,sigma_km_product1_ICDHxm,sigma_km_substrate2_ICDHxm,sigma_km_substrate18_LMPD_s_0450_c_1_256,sigma_km_substrate2_MALS,sigma_km_product2_PRFGS,sigma_km_product2_SUCFUMtm
7.94e-25,0.886637848,130.0549841,0.917827364,0.070903597,0.261105766,0.571362514,0.448133795,0.025008759,0.252586134,0.594642689,0.517561317,0.241461252,0.758674009,0.907652736,0.714069521,0.276865526
8.18e-24,0.445421964,228.4909627,0.278383448,0.212390626,0.367260313,0.627583844,0.53863036,0.666135795,0.725278948,0.703117304,0.202028256,0.002889865,0.230885873,0.152528076,0.131064614,0.499796156
2.25e-24,0.673232482,192.73754,0.398161301,0.99017351,0.218520058,0.717136614,0.187153204,0.528008689,0.808168813,0.647977819,0.40436634,0.923926294,0.282024716,0.554957505,0.302177727,0.224570858
8.18e-24,0.445421964,228.4909627,0.278383448,0.751122397,0.937246191,0.439751295,0.408896544,0.73136445,0.113282365,0.98103088,0.55513825,0.957227413,0.234397305,0.513439236,0.55803371,0.353121847
1.7e-24,0.898605347,131.1201895,0.835494255,0.449110654,0.532286564,0.022466474,0.384169999,0.451004652,0.142563487,0.034366994,0.27573028,0.492193301,0.095794249,0.160810398,0.434102784,0.29426899
1.7e-24,0.898605347,131.1201895,0.835494255,0.789976878,0.683181785,0.948974145,0.784936534,0.153856379,0.224941548,0.867369635,0.299497807,0.81635935,0.989743026,0.242947372,0.565351715,0.818959191
7.94e-25,0.886637848,130.0549841,0.917827364,0.726712921,0.819606535,0.492000765,0.355389839,0.537789561,0.401240829,0.818230502,0.996452923,0.145452819,0.462741288,0.174723351,0.476752671,0.835731119
7.94e-25,0.886637848,130.0549841,0.917827364,0.818897119,0.811834054,0.195761384,0.057109741,0.563940677,0.413894872,0.364239902,0.726104096,0.160161653,0.376121937,0.797561592,0.959853815,0.677920773
7.94e-25,0.886637848,130.0549841,0.917827364,0.673394756,0.324892398,0.002530528,0.589346662,0.720895597,0.310274523,0.951359879,0.887131366,0.924196422,0.735741944,0.757495959,0.931907999,0.186008178
7.94e-25,0.886637848,130.0549841,0.917827364,0.870043373,0.73097126,0.658551066,0.548027856,0.782554168,0.96300545,0.853566937,0.983052866,0.027962928,0.75153156,0.353672525,0.892914837,0.193037097
