iter	Passed	Remaining
727	43449	16233
728	43503	16172
729	43560	16111
730	43624	16053
731	43687	15994
732	43750	15936
733	43813	15877
734	43878	15820
735	43941	15761
736	44004	15703
737	44067	15644
738	44129	15585
739	44191	15526
740	44253	15467
741	44316	15409
742	44377	15350
743	44439	15291
744	44502	15232
745	44563	15173
746	44625	15113
747	44686	15054
748	44748	14995
749	44810	14936
750	44875	14878
751	44937	14819
752	44999	14760
753	45060	14701
754	45122	14642
755	45184	14583
756	45246	14524
757	45307	14464
758	45369	14405
759	45431	14346
760	45492	14287
761	45554	14228
762	45617	14169
763	45679	14110
764	45741	14051
765	45803	13992
766	45858	13930
767	45914	13869
768	45968	13808
769	46024	13747
770	46078	13686
771	46132	13624
772	46186	13563
773	46241	13501
774	46295	13440
775	46355	13381
776	46414	13320
777	46470	13260
778	46523	13198
779	46577	13137
780	46632	13076
781	46689	13015
782	46752	12956
783	46815	12898
784	46880	12839
785	46943	12780
786	47006	12722
787	47069	12663
788	47134	12604
789	47195	12545
790	47257	12486
791	47318	12427
792	47381	12368
793	47443	12308
794	47505	12249
795	47567	12190
796	47630	12131
797	47692	12072
798	47754	12013
799	47815	11953
800	47881	11895
801	47944	11836
802	48006	11777
803	48068	11718
804	48130	11658
805	48192	11599
806	48255	11540
807	48319	11481
808	48383	11423
809	48446	11364
810	48508	11304
811	48571	11245
812	48632	11186
813	48693	11126
814	48757	11067
815	48819	11008
816	48885	10949
817	48946	10890
818	48999	10829
819	49054	10767
820	49107	10706
821	49160	10645
822	49214	10584
823	49267	10523
824	49320	10461
825	49374	10400
826	49426	10339
827	49480	10278
828	49533	10217
829	49587	10156
830	49640	10095
831	49693	10034
832	49746	9973
833	49800	9912
834	49865	9853
835	49926	9794
836	49988	9734
837	50050	9675
838	50111	9616
839	50173	9556
840	50235	9497
841	50298	9438
842	50360	9379
843	50422	9319
844	50483	9260
845	50545	9201
846	50606	9141
847	50668	9082
848	50730	9022
849	50792	8963
850	50857	8904
851	50919	8845
852	50981	8785
853	51042	8726
854	51105	8667
855	51167	8607
856	51229	8548
857	51291	8488
858	51352	8429
859	51415	8369
860	51477	8310
861	51538	8251
862	51601	8191
863	51664	8132
864	51726	8072
865	51788	8013
866	51853	7954
867	51916	7895
868	51978	7835
869	52040	7776
870	52097	7715
871	52150	7655
872	52204	7594
873	52257	7533
874	52311	7473
875	52364	7412
876	52417	7351
877	52470	7290
878	52522	7230
879	52575	7169
880	52628	7108
881	52681	7048
882	52734	6987
883	52788	6926
884	52844	6866
885	52897	6806
886	52973	6748
887	53036	6689
888	53097	6629
889	53158	6570
890	53221	6510
891	53283	6451
892	53345	6391
893	53407	6332
894	53469	6272
895	53531	6213
896	53594	6154
897	53657	6094
898	53718	6035
899	53781	5975
900	53845	5916
901	53907	5856
902	53969	5797
903	54032	5737
904	54094	5678
905	54156	5618
906	54219	5559
907	54280	5499
908	54342	5440
909	54404	5380
910	54466	5321
911	54527	5261
912	54589	5201
913	54651	5142
914	54713	5082
915	54777	5023
916	54843	4963
917	54918	4905
918	54979	4845
919	55041	4786
920	55104	4726
921	55161	4666
922	55214	4606
923	55267	4545
924	55320	4485
925	55374	4425
926	55427	4364
927	55480	4304
928	55533	4244
929	55586	4183
930	55640	4123
931	55694	4063
932	55749	4003
933	55802	3943
934	55855	3883
935	55909	3822
936	55962	3762
937	56019	3702
938	56081	3643
939	56143	3583
940	56205	3524
941	56267	3464
942	56328	3404
943	56390	3345
944	56452	3285
945	56513	3225
946	56575	3166
947	56637	3106
948	56699	3047
949	56763	2987
950	56825	2927
951	56887	2868
952	56948	2808
953	57012	2749
954	57074	2689
955	57135	2629
956	57197	2569
957	57259	2510
958	57320	2450
959	57382	2390
960	57443	2331
961	57504	2271
962	57566	2211
963	57628	2152
964	57690	2092
965	57756	2032
966	57818	1973
967	57879	1913
968	57941	1853
969	58003	1793
970	58065	1734
971	58127	1674
972	58188	1614
973	58250	1554
974	58303	1494
975	58356	1434
976	58409	1375
977	58462	1315
